centro formativo, referir, disposición
modificación, percibir, indemnización
modificación, contrato, indemnización
modificación, reconocer, derecho
modificación, notificar, empresario
modificación, finalizar, formación
adopción, guardar, riesgo
adopción, guardar, riesgo
adopción, guardar, riesgo
adopción, guardar, acuerdo
adopción, guardar, conformidad
adopción, guardar, acuerdo
adopción, guardar, suspensión del contrato
adopción, guardar, suspensión
adopción, guardar, riesgo
adopción, guardar, riesgo
adopción, producir, familia
adopción, guardar, familia
adopción, guardar, acuerdo
jornada, alcanzar, contrato
jornada, alcanzar, contrato de relevo
jornada, acordar, trabajador
jornada, incluir, jornada de trabajo
jornada, incluir, horario
jornada, incluir, horario
jornada, incluir, jornada de trabajo
jornada, constituir, derecho
jornada, constituir, derecho
jornada, corresponder, persona
jornada, entrar, jornada de trabajo
jornada, entrar, jornada de trabajo
jornada, asegurar, protección
jornada, entrar, empresa
jornada, entrar, persona
jornada, entrar, empresa
jornada, entrar, persona
jornada, contar, voto
jornada, regular, voto
despido, producir, procedimiento
despido, requerir, extinción del contrato
despido, requerir, contrato
despido, requerir, persona
despido, contrato, persona
despido, notificar, trabajador
despido, establecer, empresario
despido, considerar, procedente
despido, considerar, incumplimiento
despido, quedar, incumplimiento
despido, contrato, trabajo
despido, declarar, improcedente
despido, declarar, empresario
exceder, treinta, trabajo
exceder, treinta, contrato
exceder, treinta, objeto del contrato
exceder, disponer, convenio colectivo
exceder, disponer, colectivo
exceder, disponer, convenio
concurrir, elegir, trabajo
concurrir, elegir, turno de trabajo
concurrir, elegir, turno
concurrir, producir, ámbito
concurrir, entrar, ámbito
concurrir, producir, ámbito
concurrir, entrar, ámbito
concurrir, impugnar, elección
concurrir, producir, ámbito
concurrir, entrar, ámbito
concurrir, producir, ámbito
concurrir, entrar, ámbito
asociación, reunir, derecho
asociación, reunir, requisito
asociación, reunir, legitimación
salario mínimo interprofesional, afectar, cuantía
jurisdicción, declarar, nulidad
jurisdicción, declarar, medida
jurisdicción, entender, convenio colectivo
jurisdicción, entender, colectivo
jurisdicción, entender, convenio
jornada, alcanzar, contrato
jornada, alcanzar, contrato de relevo
jornada, acordar, trabajador
jornada, incluir, jornada de trabajo
jornada, incluir, horario
jornada, incluir, horario
jornada, incluir, jornada de trabajo
jornada, constituir, derecho
jornada, constituir, derecho
jornada, corresponder, persona
jornada, entrar, jornada de trabajo
jornada, entrar, jornada de trabajo
jornada, asegurar, protección
jornada, entrar, empresa
jornada, entrar, persona
jornada, entrar, empresa
jornada, entrar, persona
jornada, contar, voto
jornada, regular, voto
refundido, entender, concurrir
compensación económica, pactar, convenio colectivo
compensación económica, pactar, contrato
compensación económica, pactar, colectivo
compensación económica, pactar, convenio
trabajo, contratar, servicio
trabajo, considerar, centro de trabajo
trabajo, declarar, relación laboral
trabajo, exigir, disposición legal
trabajo, exigir, disposición
trabajo, permanecer, válido
trabajo, establecer, convenio colectivo
trabajo, establecer, colectivo
trabajo, establecer, convenio
trabajo, entender, prestación
trabajo, celebrar, prestación
trabajo, acordar, prestación
trabajo, entender, tiempo parcial
trabajo, celebrar, tiempo parcial
trabajo, entender, prestación de servicios
trabajo, celebrar, prestación de servicios
trabajo, acordar, prestación de servicios
trabajo, estimar, riesgo
trabajo, estimar, accidente
trabajo, superar, salario mínimo interprofesional
trabajo, superar, salario
trabajo, superar, salario mínimo interprofesional
trabajo, superar, salario mínimo
trabajo, superar, salario mínimo
trabajo, superar, salario mínimo interprofesional
trabajo, pertenecer, empresa
